"target_domain","source_domain","source_url","target_url","is_active","first_seen","last_seen","seen_quarters","openpagerank_score","majestic_rank","tranco_rank","openpagerank_rank"
"cointelegraph.com","archive.org","https://archive.org/","https://cointelegraph.com/","True","2025Q1","2026Q1","5","6.86","59","143","137"
"coindesk.com","archive.org","https://archive.org/","https://coindesk.com/","True","2025Q1","2026Q1","5","6.86","59","143","137"
"cointelegraph.com","500px.com","https://500px.com/","https://cointelegraph.com/","True","2025Q1","2026Q1","4","6.36","878","3074","307"
"coindesk.com","coinmarketcap.com","https://coinmarketcap.com/","https://coindesk.com/","True","2025Q1","2026Q1","5","5.73","1161","2171","1705"
"coindesk.com","builtin.com","https://builtin.com/","https://coindesk.com/","True","2025Q1","2026Q1","5","5.37","3128","11190","2809"
"cointelegraph.com","builtin.com","https://builtin.com/","https://cointelegraph.com/","True","2025Q1","2026Q1","5","5.37","3128","11190","2809"
"cointelegraph.com","artsy.net","https://artsy.net/","https://cointelegraph.com/","True","2025Q4","2026Q1","2","5.29","2751","8501","3239"
"coindesk.com","audioboom.com","https://audioboom.com/","https://coindesk.com/","True","2025Q1","2026Q1","2","5.24","4653","15546","3627"
"coindesk.com","cfr.org","https://cfr.org/","https://coindesk.com/","True","2025Q1","2026Q1","5","5.2","3566","6026","3993"
"coindesk.com","cmu.edu","https://cmu.edu/","https://coindesk.com/","True","2025Q1","2026Q1","5","5.11","425","1742","4906"
"cointelegraph.com","anz.com","https://anz.com/","https://cointelegraph.com/","True","2025Q1","2026Q1","4","5.05","24029","24614","5791"
"coindesk.com","ballotpedia.org","https://ballotpedia.org/","https://coindesk.com/","True","2025Q1","2026Q1","4","5.05","3093","11731","5674"
"coindesk.com","blockchain.com","https://blockchain.com/","https://coindesk.com/","True","2025Q1","2026Q1","5","5.03","3433","11271","6029"
"coindesk.com","acorns.com","https://acorns.com/","https://coindesk.com/","True","2025Q1","2026Q1","5","5.01","15872","7101","6426"
"coindesk.com","bitrue.com","https://bitrue.com/","https://coindesk.com/","True","2025Q1","2026Q1","5","5.01","39366","23789","6388"
"cointelegraph.com","bitrue.com","https://bitrue.com/","https://cointelegraph.com/","True","2025Q1","2026Q1","5","5.01","39366","23789","6388"
"coindesk.com","adexchanger.com","https://adexchanger.com/","https://coindesk.com/","True","2025Q3","2026Q1","3","4.99","14322","48158","6797"
"cointelegraph.com","adexchanger.com","https://adexchanger.com/","https://cointelegraph.com/","True","2025Q3","2026Q1","3","4.99","14322","48158","6797"
"coindesk.com","bmo.com","https://bmo.com/","https://coindesk.com/","True","2025Q2","2026Q1","3","4.99","6943","13207","6845"
"coindesk.com","canaltech.com.br","https://canaltech.com.br/","https://coindesk.com/","True","2025Q1","2026Q1","4","4.97","16544","33584","7342"
"cointelegraph.com","canaltech.com.br","https://canaltech.com.br/","https://cointelegraph.com/","True","2025Q1","2026Q1","4","4.97","16544","33584","7342"
"cointelegraph.com","arabianbusiness.com","https://arabianbusiness.com/","https://cointelegraph.com/","True","2025Q2","2026Q1","3","4.89","6334","24375","9565"
"cointelegraph.com","bizcommunity.com","https://bizcommunity.com/","https://cointelegraph.com/","True","2025Q2","2026Q1","3","4.89","10000","26414","9411"
"coindesk.com","bizcommunity.com","https://bizcommunity.com/","https://coindesk.com/","True","2025Q1","2026Q1","5","4.89","10000","26414","9411"
